dbn,school,total_enrollment,amount_owed,district_name,district_no,assembly_district,senate_district
,OLYMPUS ACADEMY,153,408038.13,District 18,18,058,19
,EAST BROOKLYN COMMUNITY HIGH SCHOOL,178,474711.02,District 18,18,058,19
,PS 109,551,1469470.64,District 22,22,058,21
,PS 198,478,1274785.78,District 22,22,058,21
,PS 165 IDA POSNER,445,1186777.56,District 23,23,058,19
,KAPPA V,233,621391.39,District 23,23,058,19
,BROOKLYN DEMOCRACY ACADEMY,156,416038.87,District 23,23,058,19
,METROPOLITAN DIPLOMA PLUS HIGH SCH,146,389369.71,District 23,23,058,19
,IS 68 ISAAC BILDERSEE,754,2010854.56,District 18,18,059,19
,PS 114 RYDER ELEMENTARY,575,1533476.62,District 18,18,059,19
,PS 115 DANIEL MUCATEL SCHOOL,1114,2970944.26,District 18,18,059,19
,PS 272 CURTIS ESTABROOK,511,1362794.00,District 18,18,059,19
,PS 276 LOUIS MARSHALL,723,1928180.16,District 18,18,059,19
,BROOKLYN GENERATION SCHOOL,292,778739.43,District 18,18,059,19
,BROOKLYN THEATRE ARTS HIGH SCHOOL,406,1082767.84,District 18,18,059,19
,VICTORY COLLEGIATE HIGH SCHOOL,332,885416.06,District 18,18,059,19
,BROOKLYN BRIDGE ACADEMY,167,445374.95,District 18,18,059,19
,HS FOR INNOVATION -ADVERTISING/MEDIA,317,845412.33,District 18,18,059,19
,HIGH SCHOOL FOR MEDICAL PROFESSIONS,441,1176109.89,District 18,18,059,19
,ACAD FOR CONSERVATION & ENVIRONMENT,278,741402.61,District 18,18,059,19
,URBAN ACTION ACADEMY,304,810742.42,District 18,18,059,19
,JHS 78 ROY H MANN,913,2434894.18,District 22,22,059,19
,PS 203 FLOYD BENNETT SCHOOL,716,1909511.75,District 22,22,059,19
,PS 207 ELIZABETH G LEARY,1239,3304308.74,District 22,22,059,22
,PS 236 MILL BASIN,542,1445468.39,District 22,22,059,19
,PS 251 PAERDEGAT,517,1378795.50,District 22,22,059,21
,PS 277 GERRITSEN BEACH,423,1128105.41,District 22,22,059,22
,PS 312 BERGEN BEACH,846,2256210.81,District 22,22,059,19
,PS 4,334,890749.90,District 75,75,060,19
,PS 36,258,688064.29,District 75,75,060,19
,PS 53,406,1082767.84,District 75,75,060,19
,PS 13 ROBERTO CLEMENTE,457,1218780.55,District 19,19,060,19
,PS 149 DANNY KAYE,666,1776165.96,District 19,19,060,19
,JHS 166 GEORGE GERSHWIN,230,613390.65,District 19,19,060,19
,PS 174 DUMONT,220,586721.49,District 19,19,060,19
,PS 190 SHEFFIELD,185,493379.43,District 19,19,060,19
,PS 202 ERNEST S JENKYNS,635,1693491.57,District 19,19,060,19
,PS 213 NEW LOTS,413,1101436.25,District 19,19,060,19
,PS 214 MICHAEL FRIEDSAM,878,2341552.12,District 19,19,060,19
,JHS 218 JAMES P SINNOTT,485,1293454.19,District 19,19,060,19
,PS 224 HALE A WOODRUFF,533,1421466.15,District 19,19,060,19
,PS 260 BREUCKELEN,28,74673.64,District 19,19,060,19
,PS 273 WORTMAN,347,925419.80,District 19,19,060,19
,PS 306 ETHAN ALLEN,613,1634819.42,District 19,19,060,19
,ESSENCE SCHOOL,146,389369.71,District 19,19,060,19
,FRESH CREEK SCHOOL (THE),180,480044.85,District 19,19,060,19
,PS 328 PHYLLIS WHEATLEY,363,968090.46,District 19,19,060,19
,PS 346 ABE STARK,597,1592148.77,District 19,19,060,19
,IS 364 GATEWAY,368,981425.03,District 19,19,060,19
,FDA VIII MIDDLE SCHOOL,297,792074.01,District 19,19,060,19
,EAST NEW YORK ELEMENTARY-EXCELLENCE,537,1432133.81,District 19,19,060,19
,EAST NEW YORK MIDDLE SCH-EXCELLENCE,244,650727.47,District 19,19,060,19
,ACADEMY FOR YOUNG WRITERS,504,1344125.59,District 19,19,060,19
,EAST NY FAMILY ACADEMY,465,1240115.87,District 19,19,060,19
,FDNY HIGH SCHOOL-FIRE & LIFE SAFETY,299,797407.84,District 19,19,060,19
,HIGH SCHOOL FOR CIVIL RIGHTS,342,912085.22,District 19,19,060,19
,PERF ARTS & TECH HIGH SCHOOL,434,1157441.48,District 19,19,060,19
,WORLD ACAD FOR TOTAL COM HEALTH,309,824077.00,District 19,19,060,19
,SCH FOR CLASSICS: AN ACADEMY-TWP,306,816076.25,District 19,19,060,19
,PS 41 FRANCIS WHITE,551,1469470.64,District 23,23,060,19
,PS 184 NEWPORT,517,1378795.50,District 23,23,060,19
,PS 373,432,1152107.65,District 75,75,061,23
,RICHARD H HUNGERFORD SCHOOL (THE),397,1058765.59,District 75,75,061,23
,PS 14 CORNELIUS VANDERBILT,200,533383.17,District 31,31,061,23
,PS 16 JOHN J DRISCOLL,694,1850839.60,District 31,31,061,23
,PS 18 JOHN G WHITTIER,571,1522808.95,District 31,31,061,23
,PS 19 THE CURTIS SCHOOL,587,1565479.61,District 31,31,061,23
,PS 20 PORT RICHMOND,501,1336124.84,District 31,31,061,23
,PS 21 MARGARET EMERY-ELM PARK,447,1192111.39,District 31,31,061,23
,PS 22 GRANITEVILLE,1000,2666915.86,District 31,31,061,23
,IS 27 ANNING S PRALL,1123,2994946.51,District 31,31,061,24
,PS 31 WILLIAM T DAVIS,453,1208112.88,District 31,31,061,23
,PS 44 THOMAS C BROWN,813,2168202.59,District 31,31,061,23
,PS 45 JOHN TYLER,911,2429560.34,District 31,31,061,24
,IS 49 BERTHA A DREYFUS,796,2122865.02,District 31,31,061,23
,IS 51 EDWIN MARKHAM,1123,2994946.51,District 31,31,061,24
,PS 57 HUBERT H HUMPHREY,601,1602816.43,District 31,31,061,23
,IS 61 WILLIAM A MORRIS,1178,3141626.88,District 31,31,061,24
,PS 65 THE ACAD OF INNOVATIVE LRNING,366,976091.20,District 31,31,061,23
,PS 74 FUTURE LEADERS ELEMENTARY,258,688064.29,District 31,31,061,23
,PORT RICHMOND HIGH SCHOOL,1760,4693771.91,District 31,31,061,23
,CURTIS HIGH SCHOOL,2380,6347259.74,District 31,31,061,23
,CONCORD HIGH SCHOOL,146,389369.71,District 31,31,061,23
,RALPH R MCKEE CAREER-TECH HIGH SCH,620,1653487.83,District 31,31,061,23
,SOUTH RICHMOND HIGH SCH IS/PS 25,520,1386796.24,District 75,75,062,24
,GREAT KILLS HIGH SCHOOL PS37,328,874748.40,District 75,75,062,24
,PS 1 TOTTENVILLE,489,1304121.85,District 31,31,062,24
,PS 3 THE MARGARET GIOIOSA SCHOOL,975,2600242.96,District 31,31,062,24
,PS 5 HUGUENOT,212,565386.16,District 31,31,062,24
,PS 6 CPL ALLAN F KIVLEHAN SCHOOL,720,1920179.42,District 31,31,062,24
,IS 7 ELIAS BERNSTEIN,1206,3216300.52,District 31,31,062,24
,PS 23 RICHMONDTOWN,467,1245449.70,District 31,31,062,24
,PS 32 THE GIFFORD SCHOOL,751,2002853.81,District 31,31,062,24
,IS 34 TOTTENVILLE,1152,3072287.07,District 31,31,062,24
,PS 36 J C DRUMGOOLE,876,2336218.29,District 31,31,062,24
,PS 42 ELTINGVILLE,871,2322883.71,District 31,31,062,24
,PS 55 HENRY M BOEHM,628,1674823.16,District 31,31,062,24
,PS 56 THE LOUIS DESARIO SCHOOL,672,1792167.45,District 31,31,062,24
,IS 75 FRANK D PAULO,1342,3579001.08,District 31,31,062,24
,TOTTENVILLE HIGH SCHOOL,3910,10427640.99,District 31,31,062,24
,PS 4 MAURICE WOLLIN,733,1954849.32,District 31,31,063,24
,PS 11 THOMAS DONGAN SCHOOL,259,690731.21,District 31,31,063,24
,PS 26 THE CARTERET SCHOOL,176,469377.19,District 31,31,063,24
,PS 29 BARDWELL,759,2024189.13,District 31,31,063,24
,PS 30 WESTERLEIGH,792,2112197.36,District 31,31,063,24
,PS 35 THE CLOVE VALLEY SCHOOL,364,970757.37,District 31,31,063,24
,PS 48 WILLIAM C WILCOX,712,1898844.09,District 31,31,063,24
,PS 54 CHARLES W LENG,767,2045524.46,District 31,31,063,24
,SPACE SHUTTLE COLUMBIA SCHOOL,764,2037523.71,District 31,31,063,24
,PS 60 ALICE AUSTEN,871,2322883.71,District 31,31,063,24
,MARSH AVE SCH FOR EXPEDITIONARY LRN,440,1173442.98,District 31,31,063,24
,PS 69 DANIEL D TOMPKINS,936,2496233.24,District 31,31,063,24
,IS 72 ROCCO LAURIE,1248,3328310.99,District 31,31,063,24
,PS 78,484,1290787.27,District 31,31,063,24
,STATEN ISLAND SCH-CIVIC LEADERSHIP,831,2216207.08,District 31,31,063,23
,CSI HS-INTERNATIONAL STUDIES,526,1402797.74,District 31,31,063,24
,G MCCOWN EXPEDITIONARY LEARNING SCH,467,1245449.70,District 31,31,063,24
,MICHAEL J PETRIDES SCHOOL (THE),1262,3365647.81,District 31,31,063,24
,SUSAN E WAGNER HIGH SCHOOL,3428,9142187.55,District 31,31,063,24
,PS/IS 30 MARY WHITE OVINGTON,510,1360127.09,District 20,20,064,22
,PS 102 THE BAYVIEW,1344,3584334.91,District 20,20,064,22
,RALPH A FABRIZIO SCHOOL,940,2506900.90,District 20,20,064,22
,FORT HAMILTON HIGH SCHOOL,4282,11419733.69,District 20,20,064,22
,IS 2 GEORGE L EGBERT,888,2368221.28,District 31,31,064,24
,PS 8 SHIRLEE SOLOMON,513,1368127.83,District 31,31,064,24
,PS 13 M L LINDENMEYER,817,2178870.25,District 31,31,064,23
,IS 24 MYRA S BARNES,1388,3701679.21,District 31,31,064,24
,PS 38 GEORGE CROMWELL,324,864080.74,District 31,31,064,24
,PS 39 FRANCIS J MURPHY JR,551,1469470.64,District 31,31,064,23
,PS 41 NEW DORP,665,1773499.04,District 31,31,064,24
,PS 46 ALBERT V MANISCALCO,313,834744.66,District 31,31,064,23
,PS 50 FRANK HANKINSON,838,2234875.49,District 31,31,064,24
,PS 52 JOHN C THOMPSON,483,1288120.36,District 31,31,064,24
,PS 53 BAY TERRACE,610,1626818.67,District 31,31,064,24
,NEW DORP HIGH SCHOOL,2708,7222008.14,District 31,31,064,24
,STATEN ISLAND TECH HIGH SCHOOL,1235,3293641.08,District 31,31,064,24
,PS 20 ANNA SILVER,581,1549478.11,District 1,1,065,26
,PS 110 FLORENCE NIGHTINGALE,380,1013428.03,District 1,1,065,26
,PS 134 HENRIETTA SZOLD,283,754737.19,District 1,1,065,26
,PS 137 JOHN L BERNSTEIN,187,498713.26,District 1,1,065,26
,PS 140 NATHAN STRAUS,387,1032096.44,District 1,1,065,26
,PS 142 AMALIA CASTRO,359,957422.79,District 1,1,065,26
,PS 184 SHUANG WEN,638,1701492.32,District 1,1,065,26
,UNIV NEIGHBORHOOD MIDDLE SCHOOL,99,264024.67,District 1,1,065,26
,CASTLE,171,456042.61,District 1,1,065,26
,SCHOOL FOR GLOBAL LEADERS,245,653394.38,District 1,1,065,26
,HENRY STREET SCHOOL,314,837411.58,District 1,1,065,26
,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,305,813409.34,District 1,1,065,26
,FORSYTHE SATELLITE ACADEMY,178,474711.02,District 1,1,065,26
,MARTA VALLE HIGH SCHOOL,399,1064099.43,District 1,1,065,26
,LOWER EAST SIDE PREP HIGH SCHOOL,480,1280119.61,District 1,1,065,26
,"NEW EXPLORATIONS SCI, TECH & MATH",1715,4573760.69,District 1,1,065,26
,CASCADES HIGH SCHOOL,212,565386.16,District 1,1,065,26
,PS 1 ALFRED E SMITH,458,1221447.46,District 2,2,065,26
,PS 2 MEYER LONDON,779,2077527.45,District 2,2,065,26
,PS 42 BENJAMIN ALTMAN,753,2008187.64,District 2,2,065,26
,PS 124 YUNG WING,831,2216207.08,District 2,2,065,26
,PS 126 JACOB AUGUST RIIS,787,2098862.78,District 2,2,065,26
,PS 130 HERNANDO DE SOTO,970,2586908.38,District 2,2,065,26
,MS 131,435,1160108.40,District 2,2,065,26
,BATTERY PARK CITY SCHOOL,839,2237542.40,District 2,2,065,26
,MILLENNIUM HIGH SCHOOL,619,1650820.91,District 2,2,065,26
,LOWER MANHATTAN COM MIDDLE SCHOOL,352,938754.38,District 2,2,065,26
,ESSEX STREET ACADEMY,349,930753.63,District 2,2,065,26
,PACE HIGH SCHOOL,421,1122771.58,District 2,2,065,26
,URBAN ACADEMY-GOV'T & LAW,325,866747.65,District 2,2,065,26
,LOWER MANHATTAN ARTS ACADEMY,362,965423.54,District 2,2,065,26
,URBAN SCH-BUSINESS-YNG WOMEN,423,1128105.41,District 2,2,065,26
,EMMA LAZARUS HIGH SCHOOL,211,562719.25,District 2,2,065,26
,LEADERSHIP & PUBLIC SERVICE HIGH SCH,688,1834838.11,District 2,2,065,26
,HIGH SCHOOL OF ECONOMICS & FINANCE,776,2069526.70,District 2,2,065,26
,MURRY BERGTRAUM HS FOR BUS CAR,1471,3923033.22,District 2,2,065,26
,NEW DESIGN HIGH SCHOOL,442,1178776.81,District 2,2,065,26
,HS-DUAL LANGUAGE & ASIAN STUDIES,410,1093435.50,District 2,2,065,26
,URBAN ASSEMBLY NY HARBOR SCHOOL,447,1192111.39,District 2,2,065,26
,RICHARD R GREEN HS OF TEACHING,596,1589481.85,District 2,2,065,26
,PS 721 MANHATTAN OCC TRNING CTR,200,533383.17,District 75,75,066,27
,MANHATTAN SCHOOL FOR CAREER DVLPMNT,211,562719.25,District 75,75,066,27
,PS 19 ASHER LEVY,244,650727.47,District 1,1,066,27
,"TECHNOLOGY, ARTS AND SCIENCES STUDIO",157,418705.79,District 1,1,066,27
,PS 3 CHARRETTE SCHOOL,759,2024189.13,District 2,2,066,27
,PS 41 GREENWICH VILLAGE,764,2037523.71,District 2,2,066,27
,PS 89,436,1162775.31,District 2,2,066,26
,PS 150,164,437374.20,District 2,2,066,26
,PS 234 INDEPENDENCE SCHOOL,785,2093528.95,District 2,2,066,26
,IS 289,293,781406.35,District 2,2,066,26
,SPRUCE STREET SCHOOL,297,792074.01,District 2,2,066,26
,NYC ISCHOOL,431,1149440.73,District 2,2,066,26
,LEGACY SCHOOL FOR INTEGRATED STUDIES,81,216020.18,District 2,2,066,27
,STUYVESANT HIGH SCHOOL,3293,8782153.91,District 2,2,066,26
,HS 560 CITY-AS-SCHOOL,583,1554811.94,District 2,2,066,27
,CHELSEA CAREER AND TECH ED HS,450,1200112.13,District 2,2,066,26
,PS 35,248,661395.13,District 75,75,067,27
,PS 811 MICKEY MANTLE SCHOOL,305,813409.34,District 75,75,067,31
,PS 111 ADOLPH S OCHS,488,1301454.94,District 2,2,067,27
,FOOD & FINANCE HIGH SCHOOL,448,1194778.30,District 2,2,067,27
,HIGH SCHOOL OF HOSPITALITY MGMNT,432,1152107.65,District 2,2,067,27
,URBAN ASSMBLY SCH-DESIGN & CONST,426,1136106.15,District 2,2,067,27
,FACING HISTORY SCHOOL (THE),415,1106770.08,District 2,2,067,27
,HS FOR ENVIRONMENTAL STUDIES,1318,3514995.10,District 2,2,067,27
,MANHATTAN BRIDGES HIGH SCHOOL,551,1469470.64,District 2,2,067,27
,INDEPENDENCE HIGH SCHOOL,272,725401.11,District 2,2,067,27
,PS 87 WILLIAM SHERMAN,884,2357553.62,District 3,3,067,29
,PS 191 AMSTERDAM,456,1216113.63,District 3,3,067,27
,PS 199 JESSIE ISADOR STRAUS,836,2229541.66,District 3,3,067,27
,MS 245 THE COMPUTER SCHOOL,410,1093435.50,District 3,3,067,29
,ANDERSON SCHOOL (THE),575,1533476.62,District 3,3,067,29
,PS 452,220,586721.49,District 3,3,067,29
,MANHATTAN THEATRE LAB HIGH SCHOOL,131,349365.98,District 3,3,067,31
,HIGH SCH-ARTS IMAGNTN & INQUIRY,432,1152107.65,District 3,3,067,31
,URBAN ASSMBLY SCH-MEDIA STUDIES,383,1021428.77,District 3,3,067,31
,BEACON HIGH SCHOOL,1274,3397650.80,District 3,3,067,27
,FIORELLO H LAGUARDIA HIGH SCHOOL,2729,7278013.37,District 3,3,067,31
,HS FOR LAW ADVCY & COMM JUST,530,1413465.40,District 3,3,067,31
,HIGH SCHOOL OF ARTS AND TECHNOLOGY,591,1576147.27,District 3,3,067,31
,MANHATTAN/HUNTER SCIENCE HIGH SCHOOL,462,1232115.13,District 3,3,067,31
,SPECIAL MUSIC SCHOOL,191,509380.93,District 3,3,067,27
,PS 79 HORAN SCHOOL,248,661395.13,District 75,75,068,30
,PS 138,531,1416132.32,District 75,75,068,30
,PS 77 LOWER LAB SCHOOL,345,920085.97,District 2,2,068,28
,PS 198 ISADOR E IDA STRAUS,465,1240115.87,District 2,2,068,28
,LIFE SCIENCES SECONDARY SCHOOL,774,2064192.87,District 2,2,068,29
,PS 185 EARLY CHLDHD DISCOVERY,167,445374.95,District 3,3,068,30
,PS 208 ALAIN L LOCKE,162,432040.37,District 3,3,068,30
,PS 7 SAMUEL STERN,362,965423.54,District 4,4,068,30
,TAG YOUNG SCHOLARS,528,1408131.57,District 4,4,068,29
,JHS 13 JACKIE ROBINSON,105,280026.16,District 4,4,068,30
,RIVER EAST ELEMENTARY,208,554718.50,District 4,4,068,30
,PS 38 ROBERTO CLEMENTE,248,661395.13,District 4,4,068,29
,PS 50 VITO MARCANTONIO,303,808075.50,District 4,4,068,30
,JAMES WELDON JOHNSON SCHOOL,804,2144200.35,District 4,4,068,30
,LEXINGTON ACADEMY (THE),443,1181443.72,District 4,4,068,29
,PS 83 LUIS MUNOZ RIVERA,439,1170776.06,District 4,4,068,29
,PS 96 JOSEPH LANZETTA,485,1293454.19,District 4,4,068,30
,PS 102 JACQUES CARTIER,295,786740.18,District 4,4,068,30
,PS 108 ASSEMBLYMAN ANGELO DEL TORO,655,1746829.89,District 4,4,068,30
,PS 112 JOSE CELSO BARBOSA,326,869414.57,District 4,4,068,29
,PS 146 ANN M SHORT,392,1045431.02,District 4,4,068,30
,PS 155 WILLIAM PACA,321,856079.99,District 4,4,068,29
,PS 171 PATRICK HENRY,696,1856173.44,District 4,4,068,30
,BILINGUAL BICULTURAL SCHOOL (THE),378,1008094.19,District 4,4,068,29
,PS 206 JOSE CELSO BARBOSA,441,1176109.89,District 4,4,068,30
,MS 224 MANHATTAN EAST,186,496046.35,District 4,4,068,29
,ESPERANZA PREPATORY ACADEMY,421,1122771.58,District 4,4,068,29
,MOSAIC PREPARATORY ACADEMY,288,768071.77,District 4,4,068,29
,RENAISSANCE SCHOOL OF THE ARTS,161,429373.45,District 4,4,068,29
,GLOBAL TECHNOLOGY PREPARATORY,179,477377.94,District 4,4,068,30
,CENTRAL PARK EAST I,186,496046.35,District 4,4,068,30
,ISAAC NEWTON MS FOR MATH & SCI,326,869414.57,District 4,4,068,29
,CENTRAL PARK EAST II,244,650727.47,District 4,4,068,30
,GLOBAL NEIGHBORHOOD SECONDARY SCHOOL,150,400037.38,District 4,4,068,29
,COALITION SCHOOL FOR SOCIAL CHANGE,316,842745.41,District 4,4,068,30
,MANHATTAN CENTER-SCIENCE & MATH,1594,4251063.87,District 4,4,068,29
,PARK EAST HIGH SCHOOL,415,1106770.08,District 4,4,068,29
,CENTRAL PARK EAST HIGH SCHOOL,483,1288120.36,District 4,4,068,30
,YOUNG WOMEN'S LEADERSHIP SCHOOL,464,1237448.96,District 4,4,068,30
,ACADEMY OF ENVIRONMENTAL SCIENCE,20,53338.32,District 4,4,068,29
,HERITAGE SCHOOL (THE),348,928086.72,District 4,4,068,30
,PS 30 HERNANDEZ/HUGHES,262,698731.95,District 5,5,068,30
,PS 9 SARAH ANDERSON,613,1634819.42,District 3,3,069,29
,JHS 54 BOOKER T WASHINGTON,813,2168202.59,District 3,3,069,30
,PS 75 EMILY DICKINSON,610,1626818.67,District 3,3,069,31
,PS 84 LILLIAN WEBER,475,1266785.03,District 3,3,069,30
,PS 145 BLOOMINGDALE SCHOOL (THE),355,946755.13,District 3,3,069,30
,PS 163 ALFRED E SMITH,609,1624151.76,District 3,3,069,30
,PS 165 ROBERT E SIMON,846,2256210.81,District 3,3,069,31
,PS 166 RICHARD ROGERS SC-ARTS & SCI,585,1560145.78,District 3,3,069,29
,MS 243 CENTER SCHOOL,229,610723.73,District 3,3,069,29
,MS 247 DUAL LANG MIDDLE SCHOOL,195,520048.59,District 3,3,069,30
,MS 250 WEST SIDE COLLABORATIVE,189,504047.10,District 3,3,069,31
,MS 256 ACADEMIC & ATHLETIC EXCELLENC,164,437374.20,District 3,3,069,30
,COMMUNITY ACTION SCHOOL-MS 258,259,690731.21,District 3,3,069,30
,PS 333 MANHATTAN SCHOOL FOR CHLDRN,771,2056192.12,District 3,3,069,30
,WEST PREP ACADEMY,213,568053.08,District 3,3,069,30
,MOTT HALL II,344,917419.05,District 3,3,069,31
,URBAN ASSEMBLY FOR GREEN CAREERS,383,1021428.77,District 3,3,069,29
,GLOBAL LEARNING COLLABORATIVE (THE),478,1274785.78,District 3,3,069,29
,INNOVATION DIPLOMA PLUS,178,474711.02,District 3,3,069,29
,FRANK MCCOURT HIGH SCHOOL,374,997426.53,District 3,3,069,29
,EDWARD A REYNOLDS WEST SIDE HS,451,1202779.05,District 3,3,069,30
,PS 36 MARGARET DOUGLAS,455,1213446.71,District 5,5,069,30
,PS 76 A PHILLIP RANDOLPH,439,1170776.06,District 3,3,070,30
,PS 149 SOJOURNER TRUTH,300,800074.76,District 3,3,070,30
,PS 180 HUGO NEWMAN,545,1453469.14,District 3,3,070,30
,STEM INSTITUTE OF MANHATTAN,102,272025.42,District 3,3,070,30
,PS 242 YOUNG DIPLOMATS MAGNET,202,538717.00,District 3,3,070,30
,WADLEIGH PERF AND VISUAL ARTS,532,1418799.24,District 3,3,070,30
,FREDERICK DOUGLASS ACADEMY II,426,1136106.15,District 3,3,070,30
,PS 92 MARY MCLEOD BETHUNE,244,650727.47,District 5,5,070,30
,PS 123 MAHALIA JACKSON,538,1434800.73,District 5,5,070,30
,PS 125 RALPH BUNCHE,153,408038.13,District 5,5,070,30
,PS 129 JOHN H FINLEY,526,1402797.74,District 5,5,070,30
,PS 133 FRED R MOORE,236,629392.14,District 5,5,070,30
,PS 154 HARRIET TUBMAN,289,770738.68,District 5,5,070,30
,PS 161 PEDRO ALBIZU CAMPOS,918,2448228.76,District 5,5,070,31
,PS 175 HENRY H GARNET,359,957422.79,District 5,5,070,30
,PS 194 COUNTEE CULLEN,203,541383.92,District 5,5,070,30
,PS 197 JOHN B RUSSWURM,290,773405.60,District 5,5,070,30
,IS 286 RENAISSANCE LEADERSHIP,165,440041.12,District 5,5,070,31
,KAPPA IV,190,506714.01,District 5,5,070,30
,URBAN ASSEMBLY INST-NEW TECHNOLOGIES,95,253357.01,District 5,5,070,31
,NEW DESIGN MIDDLE SCHOOL,309,824077.00,District 5,5,070,31
,TEACHERS COLLEGE COMMUNITY SCHOOL,148,394703.55,District 5,5,070,30
,HARLEM RENAISSANCE HIGH SCHOOL,182,485378.69,District 5,5,070,30
,MOTT HALL HIGH SCHOOL,424,1130772.32,District 5,5,070,30
,COLUMBIA SECONDARY SCHOOL,664,1770832.13,District 5,5,070,30
,ACADEMY FOR SOCIAL ACTION,310,826743.92,District 5,5,070,31
,URBAN ASSEMBLY FOR THE PERFORM ARTS,363,968090.46,District 5,5,070,31
,CHOIR ACADEMY OF HARLEM,183,488045.60,District 5,5,070,30
,THURGOOD MARSHALL ACAD FOR LEARNING,575,1533476.62,District 5,5,070,30
,BREAD & ROSES INTEGRATED ARTS HS,271,722734.20,District 5,5,070,30
,HS MATH SCI & ENGNRNG AT CCNY,454,1210779.80,District 5,5,070,31
,PS 192 JACOB H SCHIFF,313,834744.66,District 6,6,070,31
,MOTT HALL SCHOOL (THE),284,757404.10,District 6,6,070,30
,PS 325,280,746736.44,District 6,6,070,31
,A PHILIP RANDOLPH CAMPUS HIGH SCHOOL,1374,3664342.39,District 6,6,070,30
,PS 46 ARTHUR TAPPAN,790,2106863.53,District 5,5,071,30
,PS 200 JAMES MCCUNE SMITH SCH (THE),460,1226781.29,District 5,5,071,30
,THURGOOD MARSHALL ACADEMY LOWER SCH,220,586721.49,District 5,5,071,30
,FREDERICK DOUGLASS ACADEMY,1474,3931033.97,District 5,5,071,30
,PS 4 DUKE ELLINGTON,697,1858840.35,District 6,6,071,31
,PS 28 WRIGHT BROTHERS,781,2082861.28,District 6,6,071,30
,PS 48 PO MICHAEL J BUCZEK,583,1554811.94,District 6,6,071,31
,PS 153 ADAM CLAYTON POWELL,832,2218873.99,District 6,6,071,31
,PS 173,641,1709493.06,District 6,6,071,31
,PS/IS 187 HUDSON CLIFFS,782,2085528.20,District 6,6,071,31
,PS/IS 210 21ST CENTURY ACADEMY,454,1210779.80,District 6,6,071,30
,IS 218 SALOME URENA,251,669395.88,District 6,6,071,31
,MIDDLE SCHOOL 322,374,997426.53,District 6,6,071,31
,HARBOR HEIGHTS,158,421372.71,District 6,6,071,31
,HAMILTON HEIGHTS SCHOOL,243,648060.55,District 6,6,071,31
,CITY COLLEGE ACADEMY OF THE ARTS,595,1586814.93,District 6,6,071,31
,GREGORIO LUPERON HS-SCI & MATH,483,1288120.36,District 6,6,071,31
,PS 5 ELLEN LURIE,681,1816169.70,District 6,6,072,31
,PS 8 LUIS BELLIARD,561,1496139.79,District 6,6,072,31
,PS 18 PARK TERRACE,430,1146773.82,District 6,6,072,31
,JHS 52 INWOOD,534,1424133.07,District 6,6,072,31
,PS 98 SHORAC KAPPOCK,548,1461469.89,District 6,6,072,31
,PS 115 ALEXANDER HUMBOLDT,553,1474804.47,District 6,6,072,31
,PS 128 AUDUBON,548,1461469.89,District 6,6,072,31
,PS 132 JUAN PABLO DUARTE,632,1685490.82,District 6,6,072,31
,JHS 143 ELEANOR ROOSEVELT,446,1189444.47,District 6,6,072,31
,PS 152 DYCKMAN VALLEY,626,1669489.33,District 6,6,072,31
,PROFESSOR JUAN BOSCH PS,245,653394.38,District 6,6,072,31
,PS 189,1050,2800261.65,District 6,6,072,31
,PAULA HEDBAVNY SCHOOL,527,1405464.66,District 6,6,072,31
,AMISTAD DUAL LANGUAGE SCHOOL,428,1141439.99,District 6,6,072,31
,MUSCOTA,259,690731.21,District 6,6,072,31
,MS 319 MARIE TERESA,639,1704159.23,District 6,6,072,31
,MS 324 PATRIA MIRABAL,452,1205445.97,District 6,6,072,31
,MS 326 WRITERS TODAY & LDRS TOMORROW,277,738735.69,District 6,6,072,31
,MS 328 MANH MIDDLE SCH-SCIENCE,288,768071.77,District 6,6,072,31
,WASHINGTON HEIGHTS ACADEMY,355,946755.13,District 6,6,072,31
,IS 528 BEA FULLER RODGERS SCHOOL,224,597389.15,District 6,6,072,31
,COMMUNITY HEALTH ACAD OF THE HEIGHTS,596,1589481.85,District 6,6,072,31
,WASHINGTON HGTS EXPEDITIONARY LEARN,653,1741496.05,District 6,6,072,31
,HIGH SCH-EXCELLENCE AND INNOVATION,204,544050.83,District 6,6,072,31
,COLLEGE ACADEMY (THE),546,1456136.06,District 6,6,072,31
,HIGH SCHOOL-MEDIA & COMMUNICATIONS,536,1429466.90,District 6,6,072,31
,HIGH SCHOOL-LAW & PUBLIC SERVICE,678,1808168.95,District 6,6,072,31
,HIGH SCHOOL-HEALTH CAREERS & SCIES,631,1682823.90,District 6,6,072,31
,BRONX ENG & TECH ACADEMY,415,1106770.08,District 10,10,072,31
,BRONX SCHOOL OF LAW & FINANCE,433,1154774.57,District 10,10,072,31
,ENGLISH LANGUAGE LEARNERS-INTER SUPP,267,712066.53,District 10,10,072,31
,JOHN F KENNEDY HIGH SCHOOL,143,381368.97,District 10,10,072,31
,MARBLE HILL HS-INTRNTNL STUDIES,443,1181443.72,District 10,10,072,31
,BRONX THEATRE HIGH SCHOOL,438,1168109.14,District 10,10,072,31
,PS 169 ROBERT F KENNEDY,274,730734.94,District 75,75,073,28
,PS 6 LILLIE D BLAKE,752,2005520.72,District 2,2,073,28
,PS 116 MARY LINDLEY MURRAY,719,1917512.50,District 2,2,073,28
