dbn,school,total_enrollment,amount_owed,district_name,district_no,assembly_district,senate_district
,LAW/GOVERNMENTCOMMUNITY SERVICE,267,712066.53,District 29,29,033,14
,BUSINESS/COMPTR APP & ENTREPRE,207,552051.58,District 29,29,033,14
,HUMANITIES & ARTS MAGNET HS,506,1349459.42,District 29,29,033,14
,PS 12 JAMES B COLGATE,1265,3373648.56,District 24,24,034,12
,PS 19 MARINO JEANTET,1936,5163149.10,District 24,24,034,13
,PIONEER ACADEMY,972,2592242.21,District 24,24,034,13
,IS 145 JOSEPH PULITZER,2080,5547184.98,District 30,30,034,13
,PS 148,974,2597576.04,District 30,30,034,13
,PS 149 CHRISTA MCAULIFFE,1261,3362980.89,District 30,30,034,13
,PS 152 GWENDOLYN N ALLEYNE,1281,3416319.21,District 30,30,034,16
,PS 212,807,2152201.10,District 30,30,034,13
,PS 222-FF CHRISTOPHER A SANTORA,271,722734.20,District 30,30,034,13
,PS 228 EARLY CHILDHOOD MAGNET,313,834744.66,District 30,30,034,13
,IS 230,995,2653581.28,District 30,30,034,13
,PS 280,482,1285453.44,District 30,30,034,13
,IS 227 LOUIS ARMSTRONG,1684,4491086.30,District 30,30,034,13
,JOHN F KENNEDY JR SCHOOL,476,1269451.95,District 75,75,035,16
,PS 13 CLEMENT C MOORE,1611,4296401.44,District 24,24,035,16
,PS 102 BAYVIEW,1245,3320310.24,District 24,24,035,16
,PS 143 LOUIS ARMSTRONG,1836,4896457.51,District 24,24,035,13
,PS 330,379,1010761.11,District 24,24,035,16
,NEWTOWN HIGH SCHOOL,2033,5421839.93,District 24,24,035,16
,HIGH SCHOOL FOR ARTS & BUSINESS,893,2381555.86,District 24,24,035,16
,PS 206 THE HORACE HARDING SCHOOL,583,1554811.94,District 28,28,035,16
,PS 220 EDWARD MANDEL,654,1744162.97,District 28,28,035,16
,PS 92 HARRY T STEWART SR,864,2304215.30,District 30,30,035,13
,PS 127 AEROSPACE SCIENCE MAGNET,1395,3720347.62,District 30,30,035,13
,PS 2 ALFRED ZIMBERG,675,1800168.20,District 30,30,036,13
,IS 10 HORACE GREELEY,916,2442894.92,District 30,30,036,12
,PS 17 HENRY DAVID THOREAU,480,1280119.61,District 30,30,036,12
,PS 70,908,2421559.60,District 30,30,036,12
,PS 84 STEINWAY,313,834744.66,District 30,30,036,13
,PS 85 JUDGE CHARLES VALLONE,503,1341458.68,District 30,30,036,12
,PS 122 MAMIE FAY,1341,3576334.16,District 30,30,036,12
,ALBERT SHANKER SCH-VISUAL/PERF ARTS,528,1408131.57,District 30,30,036,12
,IS 141 THE STEINWAY,1209,3224301.27,District 30,30,036,13
,PS 171 PETER G VAN ALST,519,1384129.33,District 30,30,036,12
,PS 234,599,1597482.60,District 30,30,036,12
,ACADEMY FOR NEW AMERICANS,148,394703.55,District 30,30,036,12
,ENERGY TECH HIGH SCHOOL,120,320029.90,District 30,30,036,12
,WILLIAM CULLEN BRYANT HIGH SCHOOL,2613,6968651.13,District 30,30,036,12
,PS 9,630,1680156.99,District 75,75,037,12
,PS 71 FOREST,948,2528236.23,District 24,24,037,15
,PS 88 SENECA,1050,2800261.65,District 24,24,037,15
,IS 93 RIDGEWOOD,1189,3170962.95,District 24,24,037,15
,IS 125 THOMAS J MCCANN WOODSIDE,1735,4627099.01,District 24,24,037,12
,PS 199 MAURICE A FITZGERALD,969,2584241.46,District 24,24,037,12
,LEARNERS AND LEADERS,377,1005427.28,District 24,24,037,12
,ACADEMY-FINANCE & ENTERPRISE,467,1245449.70,District 24,24,037,12
,HIGH SCH OF APPLIED COMMUNICATIONS,424,1130772.32,District 24,24,037,12
,BARD HIGH SCH EARLY COLLEGE QUEENS,600,1600149.51,District 24,24,037,12
,GROVER CLEVELAND HIGH SCHOOL,1866,4976464.99,District 24,24,037,15
,MIDDLE COLLEGE HIGH SCH AT LAGUARDIA,477,1272118.86,District 24,24,037,12
,INTNTL HIGH SCHOOL AT LA GUARDIA,492,1312122.60,District 24,24,037,12
,ROBERT F WAGNER JR SECONDARY SCHOOL,624,1664155.49,District 24,24,037,12
,QUEENS VOCATIONAL-TECHNICAL HS,1526,4069713.60,District 24,24,037,12
,AVIATION CAREER AND TECH HIGH SCHOOL,2222,5925887.03,District 24,24,037,12
,PS 76 WILLIAM HALLETT,517,1378795.50,District 30,30,037,12
,PS 78,339,904084.47,District 30,30,037,12
,PS 111 JACOB BLACKWELL,368,981425.03,District 30,30,037,12
,PS 150,1114,2970944.26,District 30,30,037,12
,LONG ISLAND CITY HIGH SCHOOL,2516,6709960.29,District 30,30,037,12
,INFORMATION TECHNOLOGY HIGH SCHOOL,918,2448228.76,District 30,30,037,12
,NEWCOMERS HIGH SCHOOL,888,2368221.28,District 30,30,037,12
,ACADEMY OF AMERICAN STUDIES,813,2168202.59,District 30,30,037,12
,BACCALAUREATE SCHOOL-GLOBAL ED,502,1338791.76,District 30,30,037,12
,ROBERT E PEARY SCHOOL,466,1242782.79,District 75,75,038,12
,PS 16 THE NANCY DEBENEDITTIS SCHOOL,1730,4613764.43,District 24,24,038,15
,PS 68 CAMBRIDGE,732,1952182.41,District 24,24,038,12
,IS 77,1074,2864267.63,District 24,24,038,12
,PS 91 RICHARD ARKWRIGHT,799,2130865.77,District 24,24,038,15
,PS 239,665,1773499.04,District 24,24,038,12
,PS 60 WOODHAVEN,1219,3250970.43,District 27,27,038,15
,PS 62 CHESTER PARK,906,2416225.77,District 27,27,038,10
,PS 64 JOSEPH P ADDABBO,645,1720160.73,District 27,27,038,15
,PS 65 RAYMOND YORK ELEM SCH (THE),511,1362794.00,District 27,27,038,15
,PS 66 JACQUELINE KENNEDY-ONASSIS,497,1325457.18,District 27,27,038,10
