dbn,school,total_enrollment,amount_owed
21K128,P.S. 128 Bensonhurst,410,992913.4
21K121,P.S. 121 Nelson A. Rockefeller,378,915417.72
21K337,International High School at Lafayette,345,835500.3
21K348,High School of Sports Management,323,782222.02
21K572,Expeditionary Learning School for Community Leaders,276,668400.24
21K559,Life Academy High School for Film and Music,260,629652.4
21K728,Liberation Diploma Plus,196,474661.04
22K405,Midwood High School,3877,9389085.98
22K425,James Madison High School,3055,7398415.7
22K234,J.H.S. 234 Arthur W. Cunningham,1863,4511701.62
22K206,P.S. 206 Joseph F Lamb,1393,3373483.82
22K217,P.S. 217 Colonel David Marcus School,1302,3153105.48
22K207,P.S. 207 Elizabeth G. Leary,1272,3080453.28
22K495,Sheepshead Bay High School,1124,2722035.76
22K278,J.H.S. 278 Marine Park,1073,2598527.02
22K535,Leon M. Goldstein High School for the Sciences,1046,2533140.04
22K139,P.S. 139 Alexine A. Fenty,1041,2521031.34
22K240,Andries Hudde,916,2218313.84
22K078,J.H.S. 078 Roy H. Mann,914,2213470.36
22K312,P.S. 312 Bergen Beach,909,2201361.66
22K152,School of Science & Technology,901,2181987.74
22K193,P.S. 193 Gil Hodges,873,2114179.02
22K255,P.S. 255 Barbara Reing School,868,2102070.32
22K222,P.S. 222 Katherine R. Snyder,865,2094805.1
22K315,P.S. K315,841,2036683.34
22K052,P.S. 052 Sheepshead Bay,789,1910752.86
22K203,P.S. 203 Floyd Bennett School,775,1876848.5
22K254,P.S. 254 Dag Hammarskjold,700,1695218
22K361,P.S. 361 East Flatbush Early Childhood School,643,1557178.82
22K555,Brooklyn College Academy,618,1496635.32
22K236,P.S. 236 Mill Basin,581,1407030.94
22K251,P.S. 251 Paerdegat,573,1387657.02
22K014,J.H.S. 014 Shell Bank,558,1351330.92
22K197,P.S. 197 - The Kings Highway Academy,553,1339222.22
22K109,P.S. 109,551,1334378.74
22K134,P.S. K134,534,1293209.16
22K198,P.S. 198 Brooklyn,513,1242352.62
22K277,P.S. 277 Gerritsen Beach,461,1116422.14
22K195,P.S. 195 Manhattan Beach,459,1111578.66
22K194,P.S. 194 Raoul Wallenberg,455,1101891.7
22K119,P.S. 119 Amersfort,422,1021974.28
22K269,P.S. 269 Nostrand,397,961430.78
22K381,I. S. 381,379,917839.46
22K245,P.S. 245,296,716835.04
22K326,P.S. 326,219,530361.06
22K630,Professional Pathways High School,105,254282.7
22K611,Origins High School,85,205847.9
23K156,P.S. 156 Waverly,784,1898644.16
23K327,P.S. 327 Dr. Rose B. English,634,1535383.16
23K284,P.S. 284 Lew Wallace,587,1421561.38
23K184,P.S. 184 Newport,571,1382813.54
23K041,P.S. 041 Francis White,553,1339222.22
23K644,Eagle Academy for Young Men II,513,1242352.62
23K155,P.S./ I.S. 155 Nicholas Herkimer,511,1237509.14
23K165,P.S. 165 Ida Posner,472,1143061.28
23K178,P.S. 178 Saint Clair Mckelway,459,1111578.66
23K697,Teachers Preparatory High School,458,1109156.92
23K323,P.S./I.S. 323,451,1092204.74
23K493,Brooklyn Collegiate: A College Board School,387,937213.38
23K514,Frederick Douglass Academy VII High School,328,794330.72
23K298,P.S. 298 Dr. Betty Shabazz,297,719256.78
23K137,P.S./I.S. 137 Rachel Jean Mitchell,294,711991.56
23K446,Riverdale Avenue Community School,269,651448.06
23K392,I.S. 392,266,644182.84
23K401,Christopher Avenue Community School,244,590904.56
23K646,Aspirations Diploma Plus High School,241,583639.34
23K518,Kappa V,233,564265.42
23K150,P.S. 150 Christopher,213,515830.62
23K671,Mott Hall Bridges Academy,213,515830.62
23K522,Mott Hall IV,204,494034.96
23K643,Brooklyn Democracy Academy,198,479504.52
23K073,P.S. 073 Thomas S. Boyland,196,474661.04
23K647,Metropolitan Diploma Plus High School,188,455287.12
23K599,Brooklyn Landmark Elementary School,148,358417.52
23K363,Brownsville Collaborative Middle School,120,290608.8
23K631,General D. Chappie James Elementary School of Science,95,230065.3
23K634,General D. Chappie James Middle School of Science,87,210691.38
23K664,Brooklyn Environmental Exploration School (BEES),52,125930.48
23K668,Riverdale Avenue Middle School,49,118665.26
23K332,P.S. 332 Charles H. Houston,23,55700.02
24Q061,I.S. 061 Leonardo Da Vinci,2354,5700775.96
24Q610,Aviation Career & Technical Education High School,2231,5402901.94
24Q455,Newtown High School,2074,5022688.76
24Q089,P.S. 089 Elmhurst,1981,4797466.94
24Q019,P.S. 019 Marino Jeantet,1961,4749032.14
24Q485,Grover Cleveland High School,1869,4526232.06
24Q143,P.S. 143 Louis Armstrong,1811,4385771.14
24Q016,P.S. Q016 The Nancy DeBenedittis School,1737,4206562.38
24Q125,I.S. 125 Thom J. McCann Woodside,1734,4199297.16
24Q073,I.S. 73 - The Frank Sansivieri Intermediate School,1708,4136331.92
24Q014,P.S. 014 Fairview,1689,4090318.86
24Q005,I.S. 5 - The Walter Crowley Intermediate School,1620,3923218.8
24Q013,P.S. 013 Clement C. Moore,1607,3891736.18
24Q229,P.S. 229 Emanuel Kaplan,1549,3751275.26
24Q600,Queens Vocational and Technical High School,1514,3666514.36
24Q153,P.S. 153 Maspeth Elem,1454,3521209.96
24Q012,P.S. 012 James B. Colgate,1280,3099827.2
24Q102,P.S. 102 Bayview,1239,3000535.86
24Q093,I.S. 093 Ridgewood,1197,2898822.78
24Q007,P.S. 007 Louis F. Simeone,1121,2714770.54
24Q049,P.S. 049 Dorothy Bonawit Kole,1116,2702661.84
24Q088,P.S. 088 Seneca,1110,2688131.4
24Q077,I.S. 077,1083,2622744.42
24Q119,I.S. 119 The Glendale,1055,2554935.7
24Q081,P.S. 81Q Jean Paul Richter,1026,2484705.24
24Q058,P.S. 58 - School of Heroes,987,2390257.38
24Q307,Pioneer Academy,974,2358774.76
24Q113,P.S./I.S. 113 Anthony J. Pranzo,971,2351509.54
24Q199,P.S. 199 Maurice A. Fitzgerald,968,2344244.32
24Q071,P.S. 071 Forest,945,2288544.3
24Q128,"P.S. 128 The Lorraine Tuzzo, Juniper Valley Elementary School",909,2201361.66
24Q550,High School for Arts and Business,887,2148083.38
24Q091,P.S. 091 Richard Arkwright,835,2022152.9
24Q068,P.S. 068 Cambridge,777,1881691.98
24Q585,Maspeth High School,751,1818726.74
24Q239,P.S. 239,696,1685531.04
24Q560,"Robert F. Wagner, Jr. Secondary School for Arts and Technology",631,1528117.94
24Q299,Bard High School Early College Queens,600,1453044
24Q087,P.S. / I.S. 087 Middle Village,570,1380391.8
24Q028,P.S. 28 - The Thomas Emanuel Early Childhood Center,553,1339222.22
24Q877,The 51 Avenue Academy (The Path To Academic Excellence),524,1268991.76
24Q530,International High School at LaGuardia Community College,503,1218135.22
24Q520,Middle College High School at LaGuardia Community College,495,1198761.3
24Q264,Academy of Finance and Enterprise,467,1130952.58
24Q293,Civic Leadership Academy,453,1097048.22
24Q267,High School of Applied Communication,421,1019552.54
24Q305,Learners and Leaders,415,1005022.1
24Q330,P.S. 330,381,922682.94
24Q296,Pan American International High School,367,888778.58
24Q290,A.C.E. Academy for Scholars at the Geraldine Ferraro Campus,278,673243.72
24Q744,VOYAGES Preparatory,216,523095.84
24Q211,Elm Tree Elementary School,145,351152.3
24Q110,PS 110,140,339043.6
24Q311,Corona Arts and Sciences Academy,100,242174
24Q236,International High School for Health Sciences,50,121087
25Q425,John Bowne High School,3722,9013716.28
25Q460,Flushing High School,2499,6051928.26
25Q185,J.H.S. 185 Edward Bleeker,1520,3681044.8
25Q020,P.S. 020 John Bowne,1435,3475196.9
25Q021,P.S. 021 Edward Hart,1352,3274192.48
25Q237,I.S. 237,1224,2964209.76
25Q525,Townsend Harris High School,1151,2787422.74
25Q129,P.S. 129 Patricia Larkin,1087,2632431.38
25Q194,J.H.S. 194 William Carr,1041,2521031.34
25Q079,P.S. 079 Francis Lewis,975,2361196.5
25Q120,P.S. 120 Queens,973,2356353.02
25Q107,P.S. 107 Thomas A Dooley,969,2346666.06
25Q032,P.S. 032 State Street,947,2293387.78
25Q024,P.S. 024 Andrew Jackson,934,2261905.16
25Q022,P.S. 022 Thomas Jefferson,812,1966452.88
25Q025,I.S. 025 Adrien Block,780,1888957.2
25Q029,P.S. 029 Queens,770,1864739.8
25Q165,P.S. 165 Edith K. Bergtraum,754,1825991.96
25Q189,J.H.S. 189 Daniel Carter Beard,746,1806618.04
25Q154,P.S. 154 Queens,703,1702483.22
25Q670,Robert F. Kennedy Community High School,685,1658891.9
25Q281,East-West School of International Studies,643,1557178.82
25Q209,P.S. 209 Clearview Gardens,627,1518430.98
25Q164,P.S. 164 Queens Valley,620,1501478.8
25Q163,P.S. 163 Flushing Heights,614,1486948.36
25Q219,P.S. 219 Paul Klapper,613,1484526.62
25Q285,World Journalism Preparatory: A College Board School,609,1474839.66
25Q252,"Queens School of Inquiry, The",590,1428826.6
25Q184,P.S. 184 Flushing Manor,507,1227822.18
25Q499,"The Queens College School for Math, Science and Technology",506,1225400.44
25Q193,P.S. 193 Alfred J. Kennedy,500,1210870
25Q214,P.S. 214 Cadwallader Colden,475,1150326.5
25Q201,P.S. 201 The Discovery School for Inquiry and Research,473,1145483.02
25Q200,PS/MS 200 - The Pomonok School & STAR Academy,464,1123687.36
25Q244,The Active Learning Elementary School,428,1036504.72
25Q263,Flushing International High School,412,997756.88
25Q242,P.S. 242 Leonard P. Stavisky Early Childhood School,409,990491.66
25Q169,P.S. 169 Bay Terrace,396,959009.04
25Q294,BELL Academy,367,888778.58
25Q540,Queens Academy High School,362,876669.88
25Q130,P.S. 130,349,845187.26
25Q250,I.S. 250 The Robert F. Kennedy Community Middle School,329,796752.46
25Q792,North Queens Community High School,203,491613.22
25Q240,Veritas Academy,124,300295.76
25Q241,Queens High School for Language Studies,70,169521.8
26Q430,Francis Lewis High School,4058,9827420.92
26Q415,Benjamin N. Cardozo High School,3628,8786072.72
26Q495,Bayside High School,3241,7848859.34
26Q435,Martin Van Buren High School,2096,5075967.04
26Q216,J.H.S. 216 George J. Ryan,1364,3303253.36
26Q566,"Queens High School of Teaching, Liberal Arts and the Sciences",1164,2818905.36
26Q158,M.S. 158 Marie Curie,1120,2712348.8
26Q074,J.H.S. 074 Nathaniel Hawthorne,1002,2426583.48
26Q172,Irwin Altman Middle School 172,968,2344244.32
26Q173,P.S. 173 Fresh Meadows,945,2288544.3
26Q203,P.S. 203 Oakland Gardens,897,2172300.78
26Q067,J.H.S. 067 Louis Pasteur,883,2138396.42
26Q162,P.S. 162 John Golden,711,1721857.14
26Q266,P.S. / I.S. 266,689,1668578.86
26Q026,P.S. 026 Rufus King,653,1581396.22
26Q115,P.S. 115 Glen Oaks,646,1564444.04
26Q188,P.S. 188 Kingsbury,643,1557178.82
26Q018,P.S. 018 Winchester,642,1554757.08
26Q221,P.S. 221 The North Hills School,641,1552335.34
26Q159,P.S. 159,626,1516009.24
26Q046,P.S. 046 Alley Pond,578,1399765.72
26Q041,P.S. 041 Crocheron,560,1356174.4
26Q178,P.S./ IS 178 Holliswood,540,1307739.6
26Q031,P.S. 031 Bayside,524,1268991.76
26Q213,P.S. 213 The Carl Ullman School,433,1048613.42
26Q191,P.S. 191 Mayflower,409,990491.66
26Q133,P.S. 133 Queens,408,988069.92
26Q094,P.S. 094 David D. Porter,401,971117.74
26Q186,P.S. 186 Castlewood,366,886356.84
26Q205,P.S. 205 Alexander Graham Bell,313,758004.62
26Q098,P.S. 098 The Douglaston School,221,535204.54
27Q480,John Adams High School,2838,6872898.12
27Q475,Richmond Hill High School,2225,5388371.5
27Q210,J.H.S. 210 Elizabeth Blackwell,1936,4688488.64
27Q137,M.S. 137 America's School of Heroes,1918,4644897.32
27Q108,P.S. 108 Captain Vincent G. Fowler,1464,3545427.36
27Q124,P.S. 124 Osmond A Church,1348,3264505.52
27Q063,P.S. 063 Old South,1328,3216070.72
27Q060,P.S. 060 Woodhaven,1286,3114357.64
27Q323,Scholars' Academy,1253,3034440.22
27Q226,J.H.S. 226 Virgil I. Grissom,1191,2884292.34
27Q232,P.S. 232 Lindenwood,1068,2586418.32
27Q043,P.S. 043,1035,2506500.9
27Q202,J.H.S. 202 Robert H. Goddard,1030,2494392.2
27Q100,P.S. 100 Glen Morris,990,2397522.6
27Q650,"High School for Construction Trades, Engineering and Architecture",946,2290966.04
27Q062,P. S. 62 - Chester Park School,912,2208626.88
27Q090,P.S. 090 Horace Mann,890,2155348.6
27Q400,August Martin High School,853,2065744.22
27Q105,P.S. 105 The Bay School,845,2046370.3
27Q207,P.S. 207 Rockwood Park,753,1823570.22
27Q146,P.S. 146 Howard Beach,700,1695218
27Q097,P.S. 097 Forest Park,697,1687952.78
27Q123,P.S. 123,675,1634674.5
27Q114,P.S. / M.S. 114 Belle Harbor,669,1620144.06
27Q223,P.S. 223 Lyndon B. Johnson,661,1600770.14
27Q254,P.S. 254 - The Rosa Parks School,654,1583817.96
27Q042,P.S./M.S 042 R. Vernam,649,1571709.26
27Q064,P.S. 064 Joseph P. Addabbo,647,1566865.78
27Q262,Channel View School for Research,642,1554757.08
27Q104,P.S. 104 The Bays Water,631,1528117.94
27Q309,Academy of Medical Technology: A College Board School,631,1528117.94
27Q155,P.S. 155,598,1448200.52
27Q308,Robert H. Goddard High School of Communication Arts and Technology,598,1448200.52
27Q333,Goldie Maple Academy,541,1310161.34
27Q066,P.S. 066 Jacqueline Kennedy Onassis,538,1302896.12
27Q183,P.S. 183 Dr. Richard R. Green,532,1288365.68
27Q197,P.S. 197 The Ocean School,523,1266570.02
27Q253,P.S. 253,511,1237509.14
27Q065,P.S. 65 - The Raymond York Elementary School,508,1230243.92
27Q306,New York City Academy for Discovery,479,1160013.46
27Q317,WATERSIDE CHILDREN'S STUDIO SCHOOL,441,1067987.34
27Q045,P.S. 045 Clarence Witherspoon,437,1058300.38
27Q056,P.S. 056 Harry Eichler,413,1000178.62
27Q260,Frederick Douglass Academy VI High School,412,997756.88
27Q362,Wave Preparatory Elementary School,373,903309.02
27Q324,Rockaway Park High School for Environmental Sustainability,354,857295.96
27Q053,M.S. 053 Brian Piccolo,351,850030.74
27Q319,VILLAGE ACADEMY,324,784643.76
27Q096,P.S. 096,322,779800.28
27Q302,"Queens High School for Information, Research, and Technology",322,779800.28
27Q351,Rockaway Collegiate High School,312,755582.88
27Q051,P.S. 051,269,651448.06
27Q282,Knowledge and Power Preparatory Academy VI,262,634495.88
27Q273,P.S. 273,254,615121.96
27Q047,P.S. 047 Chris Galas,232,561843.68
27Q106,P.S. 106,223,540048.02
27Q318,WATERSIDE SCHOOL FOR LEADERSHIP,174,421382.76
27Q215,P.S. 215 Lucretia Mott,165,399587.1
27Q410,Beach Channel High School,151,365682.74
27Q261,Voyages Prep - South Queens,150,363261
27Q297,Hawtree Creek Middle School,90,217956.6
28Q440,Forest Hills High School,3800,9202612
28Q505,Hillcrest High School,3231,7824641.94
28Q620,Thomas A. Edison Career and Technical Education High School,2168,5250332.32
28Q217,J.H.S. 217 Robert A. Van Wyck,1631,3949857.94
28Q157,J.H.S. 157 Stephen A. Halsey,1476,3574488.24
28Q686,QUEENS METROPOLITAN HIGH SCHOOL,1139,2758361.86
28Q117,P.S. 117 J. Keld / Briarwood School,1037,2511344.38
28Q190,J.H.S. 190 Russell Sage,1011,2448379.14
28Q182,P.S. 182 Samantha Smith,951,2303074.74
28Q086,P.S. Q086,931,2254639.94
28Q072,Catherine & Count Basie Middle School 72,887,2148083.38
28Q139,P.S. 139 Rego Park,873,2114179.02
28Q121,P.S. 121 Queens,852,2063322.48
28Q099,P.S. 099 Kew Gardens,839,2031839.86
28Q680,Queens Gateway to Health Sciences Secondary School,811,1964031.14
28Q144,P.S. 144 Col Jeromus Remsen,809,1959187.66
28Q050,P.S. 050 Talfourd Lawn Elementary School,770,1864739.8
28Q196,P.S. 196 Grand Central Parkway,747,1809039.78
28Q175,P.S. 175 The Lynn Gross Discovery School,731,1770291.94
28Q161,P.S. 161 Arthur Ashe School,708,1714591.92
28Q220,P.S. 220 Edward Mandel,689,1668578.86
28Q174,P.S. 174 William Sidney Mount,676,1637096.24
28Q160,P.S. 160 Walter Francis Bishop,670,1622565.8
28Q310,Queens Collegiate: A College Board School,647,1566865.78
28Q082,P.S. 082 Hammond,638,1545070.12
28Q167,Metropolitan Expeditionary Learning School,605,1465152.7
28Q040,P.S. 040 Samuel Huntington,604,1462730.96
28Q206,P.S. 206 The Horace Harding School,604,1462730.96
28Q140,P.S. 140 Edward K Ellington,599,1450622.26
28Q284,York Early College Academy,592,1433670.08
28Q101,P.S. 101 School in the Gardens,587,1421561.38
28Q008,J.H.S. 008 Richard S. Grossley,574,1390078.76
28Q054,P.S. 054 Hillside,573,1387657.02
28Q690,High School for Law Enforcement and Public Safety,565,1368283.1
28Q080,P.S. 080 Thurgood Marshall Magnet,556,1346487.44
28Q896,"Young Women's Leadership School, Queens",555,1344065.7
28Q055,P.S. 055 Maure,526,1273835.24
28Q048,P.S. 048 William Wordsworth,506,1225400.44
28Q354,PS 354,440,1065565.6
28Q325,Hillside Arts & Letters Academy,420,1017130.8
28Q687,Queens High School for the Sciences at York College,419,1014709.06
28Q350,Jamaica Gateway to the Sciences,396,959009.04
28Q328,High School for Community Leadership,357,864561.18
28Q338,Queens Satellite High School for Opportunity,254,615121.96
28Q303,The Academy for Excellence through the Arts,203,491613.22
28Q287,The Emerson School,106,256704.44
28Q030,P.S. 030 Queens,93,225221.82
28Q470,Jamaica High School,52,125930.48
29Q238,I.S. 238 - Susan B. Anthony Academy,1523,3688310.02
29Q095,P.S. 095 Eastwood,1477,3576909.98
29Q109,Jean Nuzzi Intermediate School,1070,2591261.8
29Q033,P.S. 033 Edward M. Funk,1045,2530718.3
29Q135,The Bellaire School,973,2356353.02
29Q131,P.S. 131 Abigail Adams,840,2034261.6
29Q138,P.S./ M.S.138 Sunrise,793,1920439.82
29Q116,PS/IS 116 William C. Hughley,753,1823570.22
29Q176,P.S. 176 Cambria Heights,741,1794509.34
29Q208,P.S. / I.S. 208,733,1775135.42
29Q147,PS/MS 147 Ronald McNair,700,1695218
29Q035,P.S. 035 Nathaniel Woodhull,676,1637096.24
29Q195,P.S. 195 William Haberle,675,1634674.5
29Q270,The Gordon Parks School,667,1615300.58
29Q136,P.S. 136 Roy Wilkins,630,1525696.2
29Q268,PS/IS 268,608,1472417.92
29Q118,P.S. 118 Lorraine Hansberry,595,1440935.3
29Q059,I.S. 059 Springfield Gardens,569,1377970.06
29Q034,P.S. 034 John Harvard,563,1363439.62
29Q259,Pathways College Preparatory School: A College Board School,563,1363439.62
29Q295,P.S./I.S. 295,556,1346487.44
29Q037,Cynthia Jenkins School,546,1322270.04
29Q192,I.S. 192 The Linden,528,1278678.72
29Q283,Preparatory Academy for Writers: A College Board School,522,1264148.28
29Q498,Humanities & Arts Magnet High School,513,1242352.62
29Q052,P.S. 052 Queens,508,1230243.92
29Q272,George Washington Carver High School for the Sciences,498,1206026.52
29Q036,P.S. 036 Saint Albans School,494,1196339.56
29Q134,P.S. 134 Hollis,487,1179387.38
29Q265,Excelsior Preparatory High School,480,1162435.2
29Q356,Community Voices Middle School,466,1128530.84
29Q248,Queens Preparatory Academy,465,1126109.1
29Q355,Collaborative Arts Middle School,465,1126109.1
29Q015,P.S. 015 Jackie Robinson,460,1114000.4
29Q156,P.S. 156 Laurelton,454,1099469.96
29Q492,"Mathematics, Science Research and Technology Magnet High School",416,1007443.84
29Q181,P.S. 181 Brookfield,364,881513.36
29Q132,P.S. 132 Ralph Bunche,347,840343.78
29Q327,Eagle Academy for Young Men III,345,835500.3
29Q326,Cambria Heights Academy,336,813704.64
29Q251,P.S. 251 Queens,333,806439.42
29Q494,"Law, Government and Community Service High School",277,670821.98
29Q496,"Business, Computer Applications & Entrepreneurship High School",211,510987.14
29Q038,P.S. 038 Rosedale,203,491613.22
29Q243,Institute for Health Professions at Cambria Heights,82,198582.68
29Q289,Queens United Middle School,80,193739.2
30Q445,William Cullen Bryant High School,2627,6361910.98
30Q450,Long Island City High School,2522,6107628.28
30Q145,I.S. 145 Joseph Pulitzer,2079,5034797.46
30Q227,I.S. 227 Louis Armstrong,1687,4085475.38
30Q127,P.S. 127 Aerospace Science Magne,1462,3540583.88
30Q122,P.S. 122 Mamie Fay,1377,3334735.98
30Q152,P.S. 152 Gwendoline N. Alleyne School,1362,3298409.88
30Q011,P.S. 011 Kathryn Phelan,1347,3262083.78
30Q149,P.S. 149 Christa Mcauliffe,1275,3087718.5
30Q166,P.S. 166 Henry Gradstein,1240,3002957.6
30Q069,P.S. 069 Jackson Heights,1232,2983583.68
30Q141,I.S. 141 The Steinway,1209,2927883.66
30Q150,P.S. 150 Queens,1198,2901244.52
30Q148,P.S. 148 Queens,1041,2521031.34
30Q070,P.S. 070 Queens,1020,2470174.8
30Q230,I.S. 230,997,2414474.78
30Q555,Newcomers High School,929,2249796.46
30Q010,I.S. 010 Horace Greeley,922,2232844.28
30Q502,Information Technology High School,920,2228000.8
30Q092,P.S. 092 Harry T. Stewart Sr.,896,2169879.04
30Q575,Academy of American Studies,810,1961609.4
30Q212,P.S. 212,808,1956765.92
30Q501,Frank Sinatra School of the Arts High School,756,1830835.44
30Q204,I.S. 204 Oliver W. Holmes,704,1704904.96
30Q002,P.S. 002 Alfred Zimberg,681,1649204.94
30Q234,P.S. 234,643,1557178.82
30Q171,P.S. 171 Peter G. Van Alst,579,1402187.46
30Q286,"Young Women's Leadership School, Astoria",576,1394922.24
30Q076,P.S. 076 William Hallet,570,1380391.8
30Q085,P.S. 085 Judge Charles Vallone,563,1363439.62
30Q126,Albert Shanker School for Visual and Performing Arts,531,1285943.94
30Q017,P.S. 017 Henry David Thoreau,516,1249617.84
30Q580,Baccalaureate School for Global Education,500,1210870
30Q151,P.S. 151 Mary D. Carter,486,1176965.64
30Q112,P.S. 112 Dutch Kills,481,1164856.94
30Q280,P.S. 280,478,1157591.72
30Q301,Academy for Careers in Television and Film,470,1138217.8
30Q111,P.S. 111 Jacob Blackwell,399,966274.26
30Q078,P.S./I.S. 78Q,377,912995.98
30Q228,P.S. 228 Early Childhood Magnet School of the Arts,370,896043.8
30Q084,P.S. 084 Steinway,343,830656.82
30Q222,P.S. Q222 - Fire Fighter Christopher A. Santora School,343,830656.82
30Q235,Academy for New Americans,166,402008.84
30Q258,Energy Tech High School,119,288187.06
30Q291,Hunters Point Community Middle School,98,237330.52
30Q329,East Elmhurst Community School,74,179208.76
31R455,Tottenville High School,3957,9582825.18
31R460,Susan E. Wagner High School,3461,8381642.14
31R440,New Dorp High School,2734,6621037.16
31R450,Curtis High School,2396,5802489.04
31R445,Port Richmond High School,1794,4344601.56
31R024,I.S. 024 Myra S. Barnes,1387,3358953.38
31R075,I.S. 075 Frank D. Paulo,1342,3249975.08
31R080,The Michael J. Petrides School,1272,3080453.28
31R072,I.S. 072 Rocco Laurie,1252,3032018.48
31R605,Staten Island Technical High School,1235,2990848.9
31R007,I.S. 007 Elias Bernstein,1210,2930305.4
31R061,I.S. 061 William A Morris,1183,2864918.42
31R034,I.S. 034 Tottenville,1147,2777735.78
31R051,I.S. 051 Edwin Markham,1131,2738987.94
31R027,I.S. 027 Anning S. Prall,1129,2734144.46
31R022,P.S. 022 Graniteville,1055,2554935.7
31R003,P.S. 003 The Margaret Gioiosa School,1019,2467753.06
31R069,P.S. 069 Daniel D. Tompkins,940,2276435.6
31R042,P.S. 042 Eltingville,939,2274013.86
31R060,P.S. 060 Alice Austen,938,2271592.12
31R036,P.S. 036 J. C. Drumgoole,934,2261905.16
31R045,P.S. 045 John Tyler,911,2206205.14
31R002,I.S. R002 George L. Egbert,893,2162613.82
31R044,P.S. 044 Thomas C. Brown,890,2155348.6
31R050,P.S. 050 Frank Hankinson,882,2135974.68
31R013,P.S. 013 M. L. Lindemeyer,854,2068165.96
31R861,Staten Island School of Civic Leadership,829,2007622.46
31R054,P.S. 054 Charles W. Leng,822,1990670.28
31R030,P.S. 030 Westerleigh,809,1959187.66
31R058,Space Shuttle Columbia School,799,1934970.26
31R049,I.S. 49 Berta A. Dreyfus,795,1925283.3
31R029,P.S. 029 Bardwell,784,1898644.16
31R032,P.S. 032 The Gifford School,781,1891378.94
31R004,P.S. 004 Maurice Wollin,769,1862318.06
31R006,P.S. 6 Corporal Allan F. Kivlehan School,757,1833257.18
31R048,P.S. 048 William C. Wilcox,747,1809039.78
31R016,P.S. 016 John J. Driscoll,730,1767870.2
31R056,P.S. 56 The Louis Desario School,723,1750918.02
31R041,P.S. 041 New Dorp,713,1726700.62
31R055,P.S. 055 Henry M. Boehm,665,1610457.1
31R053,P.S. 053 Bay Terrace,662,1603191.88
31R057,P.S. 057 Hubert H. Humphrey,658,1593504.92
31R600,Ralph R. McKee Career and Technical Education High School,632,1530539.68
31R019,P.S. 019 The Curtis School,624,1511165.76
31R018,P.S. 018 John G. Whittier,617,1494213.58
31R039,P.S. 39 Francis J. Murphy Jr.,589,1426404.86
31R008,P.S. 8 Shirlee Solomon,550,1331957
31R047,CSI High School for International Studies,527,1276256.98
31R001,P.S. 001 Tottenville,521,1261726.54
31R052,P.S. 052 John C. Thompson,514,1244774.36
31R078,PS 78,503,1218135.22
31R020,P.S. 020 Port Richmond,500,1210870
31R023,P.S. 023 Richmondtown,497,1203604.78
31R064,Gaynor McCown Expeditionary Learning School,467,1130952.58
31R031,P.S. 031 William T. Davis,465,1126109.1
31R063,Marsh Avenue School for Expeditionary Learning,444,1075252.56
31R021,P.S. 21 Margaret Emery-Elm Park,434,1051035.16
31R065,P.S. 65 The Academy of Innovative Learning,402,973539.48
31R035,P.S. 35 The Clove Valley School,369,893622.06
31R038,P.S. 038 George Cromwell,343,830656.82
31R046,P.S. 046 Albert V. Maniscalco,340,823391.6
31R074,P.S. 74 FUTURE LEADERS ELEMENTARY SCHOOL,295,714413.3
31R011,P.S. 11 Thomas Dongan School,275,665978.5
31R005,P.S. 005 Huguenot,214,518252.36
31R026,P.S. 026 The Carteret School,211,510987.14
31R014,P.S. 014 Cornelius Vanderbilt,200,484348
31R470,Concord High School,169,409274.06
31R009,Naples Street Elementary School,87,210691.38
31R059,The Harbor View School,80,193739.2
32K383,J.H.S. 383 Philippa Schuyler,915,2215892.1
32K045,P.S. 045 Horace E. Greene,871,2109335.54
32K123,P.S. 123 Suydam,841,2036683.34
32K145,P.S. 145 Andrew Jackson,837,2026996.38
32K384,P.S. /I.S. 384 Frances E. Carter,718,1738809.32
32K376,P.S. 376,642,1554757.08
32K106,P.S. 106 Edward Everett Hale,595,1440935.3
32K274,P.S. 274 Kosciusko,582,1409452.68
32K075,P.S. 075 Mayda Cortiella,570,1380391.8
32K377,P.S. 377 Alejandrina B. De Gautier,531,1285943.94
32K116,P.S. 116 Elizabeth L Farrell,518,1254461.32
32K291,J.H.S. 291 Roland Hayes,514,1244774.36
32K545,EBC High School for Public Service - Bushwick,513,1242352.62
32K162,J.H.S. 162 The Willoughby,483,1169700.42
32K086,P.S. 086 The Irvington,456,1104313.44
32K549,Bushwick School for Social Justice,416,1007443.84
32K349,"I.S. 349 Math, Science & Tech.",402,973539.48
32K347,I.S. 347 School of Humanities,400,968696
32K151,P.S. 151 Lyndon B. Johnson,384,929948.16
32K299,P.S. 299 Thomas Warren Field,381,922682.94
32K556,Bushwick Leaders High School for Academic Excellence,362,876669.88
32K403,Academy for Environmental Leadership,352,852452.48
32K554,All City Leadership Secondary School,333,806439.42
32K564,Bushwick Community High School,328,794330.72
32K552,Academy of Urban Planning,313,758004.62
32K562,Evergreen Middle School for Urban Exploration,255,617543.7
32K168,The Brooklyn School for Math and Research,203,491613.22
32K296,I.S. 296 - The Anna Gonzalez Community School,102,247017.48
